Card Name,Card Link,ÁTE tájékoztatás,EREN-re vihető,Veszély típusa 3.,Veszély típusa 2.,Veszély típusa,Veszély jellemzése,Keywords,2. SZŰRÉS,Tájékoztató kész,"Dokumentum, publikáció az üggyel kapcsolatban 2.",Információforrás megnevezése/affiliációja,Információ elsődleges forrása,"Dokumentum, publikáció az üggyel kapcsolatban",Intézkedés megtörtént,További intézkedések,2. SZŰRÉS Kockázatkezelési lehetőség ismert?,2. SZŰRÉS Súlyosság,2. SZŰRÉS Mérték,2. SZŰRÉS Időbeli közelség,2. SZŰRÉS Megalapozottság,2. SZŰRÉS összpontszáma,1. SZŰRÉS,2. SZŰRÉS EREDMÉNYE,1. SZŰRÉS eredménye,Előszűrés,Titkos ügykezelést igényel,Esemény típusa,Újraértékelés rendszeressége,"Dokumentum, publikáció az üggyel kapcsolatban 3.",Milyen driver hat rá?,Driver hatás,1. SZŰRÉS indoklása,Esemény (kockázat megjelenésének) dátuma,Információhoz való hozzáférés dátuma,Intézkedés leírása,Minek köszönhető a megnövekedett kitettség/érzékenység?,Signal,Értesítendő szerv,Előszűrés indoklása,HAZARDcat 1,PRODcat 1,DRIVERs 1,EREN status,HAZARDcat 2,PRODcat 2,DRIVERs 2,NÉBIH tájékoztatás,2. SZŰRÉS indoklása,Jelezni kell társintézménynek
Micro- and nanoplastics,https://trello.com/c/5f071454630b321f7ec4639c,Kész,Kész (már volt EREN-en),,Csomagolásból kioldódó anyag,Technológiai eredetű szennyezőanyag,"The effects of micro- and nanomaterials on plants, animals and humans are not yet clear, nor is it clear whether the plastic pieces themselves or the substances that leach from them could be the cause of the problem.",#microplastics #nanoplastics #accumulation,III. FÁZIS,true,Publikáció,EMM media monitoring + EREN,Médiából,Médiamegjelenés,true,Kommunikáció,3 (nem),Nincs elég információ,Nincs elég információ,4,3,10,Ismert veszély és megnövekedett kitettség,Több információ szükséges,Több információ szükséges,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,1 év,Előadás,"Environmental pollution, consumerism",true,"The possible health effects are not yet clear, there are many uncertainties and more information is needed.",2020-06-23T10:00:00.000Z,2020-07-01 10:00:00+00:00,,,,,,,,,,,,,,,
Migration From Food Contact Materials,https://trello.com/c/62025cc4b20389551fd00bba,Kész,,,Kémiai veszély,Csomagolásból kioldódó anyag,"Harmful compounds, chemicals, and other materials can migrate into food, potentially causing food safety issues.",#FCM #Foodcontactmaterial #Foodmigration,,true,Jogszabály,,Szakfolyóiratból,Publikáció,true,Kommunikáció,1 (igen),2,3,3,3,12,,,,,,Egészségügyi,,,,,,,2022-02-08 11:00:00+00:00,ATE website communication,,,,,,,,,,,,,,
Antimicrobial Resistance Collection Card,https://trello.com/c/601a6fab9904dd1fe699a2b9,Kész,,,Baktérium,Mikrobiológiai veszély,Antimicrobial resistance (AMR) is a growing global threat which could cause the death of tens of thounds of people annually.,#AMR #antimicrobial#resistance,,true,Jogszabály,,Szakfolyóiratból,Publikáció,true,Kommunikáció,1 (igen),4,3,3,4,15,,,,,Nem igényel,Egészségügyi,,,,,,2021-02-01T11:00:00.000Z,2021-02-01 11:00:00+00:00,ATE website communication,Excessive use of antibiotics,,,,,,,,,,,,,
Sustainable packaging,https://trello.com/c/6304a0ee7981bc152cc58242,Kész,,,,,"Pollution: Inadequate management of industrial growth can lead to air, water, and soil pollution, impacting human health.    Resource Depletion: Overuse of resources can lead to scarcity, affecting food and water security and leading to health issues.    Climate Change: Failing to address climate change can result in extreme weather events, affecting health through heatwaves, floods, and the spread of diseases.    Inequality: If sustainable development does not address social disparities, vulnerable populations may face health risks due to lack of access to healthcare and resources.    Biodiversity Loss: The reduction in biodiversity can affect ecosystem services that are vital for health, such as clean air and water.",#Environmental Protection#Economic Growth#Social Equity#Resource Efficiency#Climate Change#Renewable Energy#Biodiversity  Circular#Economy  Green#Technology#Carbon Footprint#Public Health#Conservation#Ecosystem Services#Sustainable Agriculture#Energy Efficiency#Waste Management#Water Security#Social Inclusion#Urban Planning#Resilience,,,,,,,true,,,,,,,,,,,,,,,,,,,,2022-09-20 10:00:00+00:00,,,,,,,,,,,,,,,
Methods to stop AMR,https://trello.com/c/605072979165ba1bf1701e89,Kész,,,,Baktérium,"Toxicity: Some antimicrobial peptides can be toxic to human cells, leading to potential side effects.    Resistance Development: While less likely than with traditional antibiotics, there is still a risk that microbes could eventually develop resistance to peptides.    Allergic Reactions: Peptides might trigger immune responses or allergic reactions in some individuals.    Stability and Delivery: Peptides can be unstable in the body and may require specialized delivery systems to be effective, complicating treatment.    Cost and Production: Synthesizing peptides can be expensive, potentially limiting accessibility and widespread use.    Regulatory Challenges: New treatments face rigorous testing and approval processes, which can delay availability.",#AMR#antibiotic#phage therapy#antimicrobial peptide,,true,,,,,true,,,Nincs elég információ,2,3,2,7,,,,Kiesik 1.,,Egészségügyi,,,,,,2021-03-02T11:00:00.000Z,2021-02-03 11:00:00+00:00,,,,,,,,,,,,,,,
Spread of H5N1,https://trello.com/c/646c8c8ec6b283d855164690,Kész,,,,Vírus,Highly pathogenic avian influneza is a highly contagious and have zoonotic potential,#HPAI#Avianinfluenza#zoonosis,Több információ szükséges,true,,,Szakfolyóiratból,,true,Kommunikáció,1 (igen),2,3,3,3,12,Új veszély és szignifikáns kitettség,Több információ szükséges,II. FÁZIS,,,Gazdasági és egészségügyi,3 hónap,,,,,,2023-08-08 10:00:00+00:00,ÁTE website communication,New strain of HPAI,,,,,,,,,,,,,
Major Gap in Public Safety From Contaminated Gloves Identified - “Don’t be cheap” Says Industry Veteran,https://trello.com/c/65604efc8094f56fc648be2e,Kész,,,Kémiai veszély,Mikrobiológiai veszély,Protective gloves used in the food industry doesn’t require to be tested for microbiological or chemical contamination which can cause various potential health issues,#glove contamination #potential health issue,,true,,EMM,Médiából,Médiamegjelenés,true,,3 (nem),Nincs elég információ,3,4,3,13,Új bizonyíték veszély jellemzéséhez,III. FÁZIS,II. FÁZIS,,,Egészségügyi,,,,,,,2023-11-17 11:00:00+00:00,,,,,,,,,,,,,,,
New Evidence That Ultra-Processed Foods May Increase Cancer Risk,https://trello.com/c/63f47bc37b8bf00bcec73895,Kész,,,,Kémiai veszély,ultra-processed food increase cancer risk,#ultra-processed food #cancer #addiction,,true,Publikáció,EMM,Médiából,Médiamegjelenés,true,,3 (nem),4,Nincs elég információ,4,4,15,Új bizonyíték veszély jellemzéséhez,III. FÁZIS,II. FÁZIS,Továbbkerül az I. FÁZIS-ba,Nem igényel,Egészségügyi,3 hónap,,,,,,2023-02-14 11:00:00+00:00,,,,,,,,,,,,,,,
Mosquito vector transmitted diseases (arboviruses),https://trello.com/c/6503fa3501a6aecaaaf795c6,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2023-09-08 10:00:00+00:00,,,,,,,,,,,,,,,
Japanese officials inspect 2 factories making health supplements linked to 5 deaths,https://trello.com/c/662766ceffd85d049c864f1e,,,,,,,,,,,EMM,Médiából,,,,,,,,,,,,,,,,,,,,,,2024-04-16 10:00:00+00:00,,,,,,,,,,,,,,,
